2023-03-31 16:25:03,477 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 16:25:03,584 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 16:25:06,202 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 16:25:07,972 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 16:25:10,023 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 16:25:11,853 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 16:25:15,029 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 16.66%
2023-03-31 16:25:15,170 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 16:25:16,883 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 16:25:19,059 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 16:25:21,091 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 16:25:23,013 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 16:25:26,192 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 17.68%
2023-03-31 16:25:26,339 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 16:25:28,178 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 16:25:30,027 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 16:25:32,004 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 16:25:33,890 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 16:25:37,194 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 14.24%
2023-03-31 16:25:38,741 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 16:25:38,860 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 16:25:40,814 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 16:25:42,896 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 16:25:44,951 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 16:25:46,710 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 16:25:50,102 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 27.30%
2023-03-31 16:25:50,238 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 16:25:52,097 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 16:25:54,207 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 16:25:56,106 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 16:25:58,196 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 16:26:01,264 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 26.68%
2023-03-31 16:26:01,408 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 16:26:03,055 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 16:26:05,139 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 16:26:07,084 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 16:26:08,856 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 16:26:12,357 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 21.16%
2023-03-31 16:26:13,973 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 16:26:14,085 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 16:26:16,041 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 16:26:18,181 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 16:26:20,183 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 16:26:21,997 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 16:26:25,052 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 26.50%
2023-03-31 16:26:25,184 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 16:26:26,727 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 16:26:28,742 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 16:26:30,465 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 16:26:32,625 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 16:26:35,499 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 25.28%
2023-03-31 16:26:35,651 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 16:26:37,886 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 16:26:39,827 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 16:26:41,641 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 16:26:43,500 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 16:26:46,801 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 24.77%
