2023-03-31 21:54:52,150 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 21:54:52,282 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 21:54:56,549 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 21:54:58,557 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 21:54:59,915 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 21:55:01,355 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 21:55:05,005 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 21:55:05,156 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 21:55:06,771 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 21:55:08,591 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 21:55:10,723 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 21:55:12,577 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 21:55:15,215 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 10.00%
2023-03-31 21:55:15,352 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 21:55:17,483 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 21:55:19,121 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 21:55:20,717 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 21:55:22,875 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 21:55:25,754 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 11.90%
2023-03-31 21:55:27,633 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 21:55:27,752 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 21:55:29,538 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 21:55:31,174 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 21:55:32,748 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 21:55:34,872 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 21:55:37,801 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 10.00%
2023-03-31 21:55:37,951 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 21:55:39,990 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 21:55:41,976 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 21:55:43,396 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 21:55:44,876 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 21:55:48,868 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 21:55:49,022 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 21:55:50,772 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 21:55:52,344 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 21:55:54,280 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 21:55:56,431 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 21:55:59,052 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 12.12%
2023-03-31 21:56:00,780 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 21:56:00,897 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 21:56:02,608 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 21:56:04,174 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 21:56:06,175 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 21:56:08,239 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 21:56:11,088 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 10.00%
2023-03-31 21:56:11,226 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 21:56:13,225 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 21:56:14,909 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 21:56:16,414 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 21:56:18,160 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 21:56:22,143 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 11.84%
2023-03-31 21:56:22,305 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 21:56:24,167 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 21:56:25,946 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 21:56:27,619 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 21:56:29,513 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 21:56:32,607 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 13.05%
