2023-03-31 21:56:20,974 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 21:56:21,082 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 21:56:23,452 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 21:56:25,312 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 21:56:27,105 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 21:56:28,775 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 21:56:31,739 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 16.28%
2023-03-31 21:56:31,873 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 21:56:33,742 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 21:56:35,629 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 21:56:37,218 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 21:56:38,936 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 21:56:41,942 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 18.21%
2023-03-31 21:56:42,087 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 21:56:43,875 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 21:56:45,675 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 21:56:47,436 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 21:56:49,029 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 21:56:52,113 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 14.39%
2023-03-31 21:56:53,599 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 21:56:53,721 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 21:56:55,513 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 21:56:57,271 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 21:56:59,173 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 21:57:00,784 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 21:57:03,820 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 23.07%
2023-03-31 21:57:03,960 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 21:57:05,779 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 21:57:07,604 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 21:57:09,368 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 21:57:10,909 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 21:57:13,848 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 25.39%
2023-03-31 21:57:13,998 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 21:57:15,818 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 21:57:17,599 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 21:57:19,434 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 21:57:21,227 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 21:57:24,252 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 22.93%
2023-03-31 21:57:25,719 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 21:57:25,835 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 21:57:27,688 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 21:57:29,499 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 21:57:31,143 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 21:57:33,010 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 21:57:36,095 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 30.00%
2023-03-31 21:57:36,237 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 21:57:38,123 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 21:57:40,051 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 21:57:41,898 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 21:57:43,747 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 21:57:46,784 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 27.47%
2023-03-31 21:57:46,927 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 21:57:48,255 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 21:57:49,929 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 21:57:51,747 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 21:57:53,600 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 21:57:56,649 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 26.54%
