2023-03-31 19:11:13,022 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:11:13,139 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:11:19,127 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:11:22,627 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:11:25,430 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:11:29,377 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:11:36,669 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 19.34%
2023-03-31 19:11:36,828 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:11:40,271 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:11:45,060 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:11:50,008 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:11:54,589 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:12:03,339 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 21.65%
2023-03-31 19:12:03,580 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:12:07,763 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:12:12,700 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:12:17,453 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:12:22,570 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:12:31,579 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 17.45%
2023-03-31 19:12:36,048 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:12:36,198 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:12:40,885 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:12:45,684 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:12:50,406 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:12:55,252 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:13:04,056 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 26.53%
2023-03-31 19:13:04,218 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:13:09,196 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:13:13,917 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:13:19,010 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:13:24,261 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:13:33,049 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 26.41%
2023-03-31 19:13:33,232 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:13:38,226 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:13:43,107 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:13:47,993 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:13:53,037 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:14:01,129 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 24.26%
2023-03-31 19:14:03,480 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:14:03,616 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:14:07,894 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:14:12,359 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:14:16,912 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:14:21,726 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:14:29,307 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 32.26%
2023-03-31 19:14:29,475 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:14:34,069 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:14:38,707 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:14:43,217 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:14:47,440 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:14:54,458 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 25.59%
2023-03-31 19:14:54,662 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:14:58,578 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:15:02,389 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:15:05,684 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:15:09,410 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:15:15,753 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 30.25%
