2023-03-31 21:56:18,068 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 21:56:18,232 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 21:56:21,890 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 21:56:24,507 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 21:56:27,568 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 21:56:30,646 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 21:56:36,101 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.75%
2023-03-31 21:56:36,202 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 21:56:37,584 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 21:56:39,166 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 21:56:40,389 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 21:56:41,704 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 21:56:44,881 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 16.85%
2023-03-31 21:56:44,984 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 21:56:46,359 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 21:56:47,953 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 21:56:49,092 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 21:56:50,692 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 21:56:53,536 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.00%
2023-03-31 21:56:55,183 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 21:56:55,354 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 21:56:58,205 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 21:57:01,055 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 21:57:04,001 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 21:57:06,771 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 21:57:10,878 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 10.00%
2023-03-31 21:57:11,001 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 21:57:13,054 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 21:57:15,193 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 21:57:17,214 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 21:57:19,120 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 21:57:22,326 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 15.49%
2023-03-31 21:57:22,517 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 21:57:25,284 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 21:57:28,171 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 21:57:31,333 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 21:57:34,381 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 21:57:39,296 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 21:57:41,808 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 21:57:41,912 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 21:57:43,470 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 21:57:45,149 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 21:57:46,581 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 21:57:48,293 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 21:57:51,954 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 10.00%
2023-03-31 21:57:52,134 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 21:57:55,274 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 21:57:58,450 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 21:58:01,498 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 21:58:04,263 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 21:58:08,089 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 10.00%
2023-03-31 21:58:08,199 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 21:58:09,909 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 21:58:11,721 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 21:58:13,439 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 21:58:14,998 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 21:58:18,362 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 16.27%
