2023-03-31 19:00:08,899 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:00:09,065 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:00:13,289 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:00:16,997 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:00:20,341 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:00:23,570 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:00:30,132 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 19:00:30,268 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:00:31,868 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:00:33,830 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:00:35,275 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:00:37,270 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:00:41,512 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 15.07%
2023-03-31 19:00:41,628 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:00:43,376 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:00:45,076 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:00:46,816 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:00:48,102 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:00:52,308 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.01%
2023-03-31 19:00:56,130 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:00:56,273 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:00:58,799 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:01:01,745 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:01:05,343 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:01:08,934 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:01:14,633 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 10.00%
2023-03-31 19:01:14,750 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:01:17,569 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:01:20,000 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:01:21,832 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:01:24,414 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:01:29,588 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:01:29,804 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:01:33,016 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:01:36,846 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:01:40,034 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:01:43,261 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:01:48,743 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 19:01:50,887 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:01:51,025 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:01:53,117 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:01:55,301 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:01:56,969 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:01:58,774 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:02:03,712 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 10.00%
2023-03-31 19:02:03,927 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:02:07,064 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:02:10,801 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:02:14,754 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:02:17,892 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:02:24,474 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 10.67%
2023-03-31 19:02:24,577 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:02:26,787 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:02:28,852 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:02:30,683 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:02:32,588 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:02:35,539 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 17.28%
