2023-03-31 19:03:45,851 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:03:46,005 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:03:48,618 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:03:50,783 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:03:53,036 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:03:55,397 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:03:59,072 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 19:03:59,174 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:04:00,362 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:04:01,537 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:04:02,915 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:04:04,055 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:04:06,610 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 10.00%
2023-03-31 19:04:06,714 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:04:07,977 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:04:09,226 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:04:10,457 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:04:11,621 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:04:14,158 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.04%
2023-03-31 19:04:16,259 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:04:16,397 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:04:18,756 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:04:21,124 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:04:23,174 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:04:25,753 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:04:29,348 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 10.00%
2023-03-31 19:04:29,527 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:04:31,198 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:04:32,802 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:04:34,482 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:04:35,952 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:04:38,990 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:04:39,162 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:04:41,517 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:04:43,907 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:04:46,120 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:04:48,496 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:04:52,121 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 19:04:54,662 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:04:54,753 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:04:56,198 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:04:57,816 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:04:59,306 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:05:00,965 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:05:03,828 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 10.00%
2023-03-31 19:05:04,020 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:05:06,244 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:05:08,577 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:05:10,955 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:05:13,228 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:05:16,863 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 10.00%
2023-03-31 19:05:16,976 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:05:18,382 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:05:19,716 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:05:21,019 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:05:22,272 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:05:24,971 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 16.14%
