2023-03-31 19:15:12,833 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:15:12,972 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:15:17,234 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:15:19,602 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:15:21,988 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:15:24,381 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:15:28,120 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 19:15:28,227 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:15:29,163 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:15:30,675 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:15:32,168 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:15:33,219 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:15:36,336 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 11.78%
2023-03-31 19:15:36,541 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:15:37,875 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:15:39,168 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:15:40,189 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:15:41,270 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:15:43,942 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.00%
2023-03-31 19:15:45,535 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:15:45,726 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:15:48,126 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:15:49,879 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:15:51,600 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:15:53,540 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:15:58,405 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 10.00%
2023-03-31 19:15:58,554 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:16:00,202 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:16:02,067 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:16:03,628 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:16:05,465 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:16:08,955 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:16:09,146 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:16:11,069 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:16:13,285 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:16:15,747 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:16:18,540 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:16:22,520 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 19:16:24,646 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:16:24,755 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:16:25,907 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:16:27,610 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:16:29,046 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:16:30,564 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:16:33,801 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 10.00%
2023-03-31 19:16:33,987 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:16:36,911 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:16:39,589 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:16:42,449 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:16:44,699 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:16:49,424 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 10.00%
2023-03-31 19:16:49,542 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:16:50,799 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:16:52,397 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:16:54,048 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:16:55,594 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:16:58,965 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 10.00%
