2023-03-31 16:27:56,496 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 16:27:56,578 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 16:27:58,995 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 16:28:00,616 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 16:28:02,042 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 16:28:03,216 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 16:28:06,833 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 11.81%
2023-03-31 16:28:07,017 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 16:28:10,050 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 16:28:13,139 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 16:28:16,056 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 16:28:18,805 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 16:28:23,600 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 14.37%
2023-03-31 16:28:23,700 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 16:28:25,288 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 16:28:26,749 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 16:28:28,301 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 16:28:29,726 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 16:28:32,896 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.00%
2023-03-31 16:28:35,600 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 16:28:35,725 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 16:28:37,747 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 16:28:39,923 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 16:28:42,369 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 16:28:44,871 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 16:28:49,286 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 17.43%
2023-03-31 16:28:49,453 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 16:28:52,372 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 16:28:54,971 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 16:28:57,609 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 16:29:00,088 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 16:29:05,298 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 16:29:05,402 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 16:29:06,599 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 16:29:07,865 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 16:29:09,059 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 16:29:10,251 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 16:29:13,548 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 16:29:15,312 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 16:29:15,398 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 16:29:16,634 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 16:29:18,101 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 16:29:19,713 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 16:29:21,358 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 16:29:24,664 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 17.38%
2023-03-31 16:29:24,764 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 16:29:25,959 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 16:29:27,096 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 16:29:28,333 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 16:29:29,577 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 16:29:32,660 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 14.56%
2023-03-31 16:29:32,894 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 16:29:36,937 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 16:29:40,594 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 16:29:44,664 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 16:29:48,706 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 16:29:54,229 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 18.50%
