2023-03-31 19:00:09,459 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:00:09,540 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:00:14,036 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:00:15,619 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:00:17,297 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:00:19,128 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:00:23,398 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 19:00:23,593 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:00:27,362 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:00:30,852 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:00:34,565 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:00:38,301 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:00:44,340 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 18.03%
2023-03-31 19:00:44,486 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:00:45,487 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:00:47,143 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:00:48,600 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:00:50,313 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:00:53,580 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.20%
2023-03-31 19:00:57,331 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:00:57,444 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:00:59,999 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:01:02,966 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:01:05,788 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:01:08,835 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:01:14,088 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 20.11%
2023-03-31 19:01:14,281 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:01:17,679 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:01:20,811 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:01:24,094 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:01:27,407 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:01:33,021 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:01:33,120 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:01:34,632 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:01:35,999 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:01:37,214 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:01:38,749 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:01:42,317 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 19:01:44,463 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:01:44,578 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:01:46,615 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:01:48,514 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:01:49,948 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:01:51,401 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:01:55,780 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 16.62%
2023-03-31 19:01:55,891 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:01:57,171 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:01:58,472 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:01:59,748 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:02:01,187 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:02:04,477 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 10.00%
2023-03-31 19:02:04,759 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:02:10,151 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:02:15,222 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:02:19,924 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:02:24,415 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:02:31,692 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 18.84%
