2023-03-31 19:30:03,232 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:30:03,332 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:30:06,891 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:30:08,497 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:30:09,718 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:30:11,499 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:30:14,438 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 19:30:14,658 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:30:17,336 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:30:20,495 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:30:23,179 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:30:25,895 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:30:32,845 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 16.47%
2023-03-31 19:30:32,998 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:30:34,899 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:30:36,948 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:30:38,889 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:30:40,569 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:30:45,504 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.00%
2023-03-31 19:30:49,763 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:30:49,901 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:30:52,855 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:30:55,884 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:30:58,646 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:31:01,898 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:31:08,095 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 16.90%
2023-03-31 19:31:08,309 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:31:11,611 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:31:14,526 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:31:18,130 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:31:21,783 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:31:28,026 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:31:28,151 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:31:29,821 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:31:31,461 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:31:32,666 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:31:34,246 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:31:38,046 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 19:31:39,831 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:31:39,936 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:31:42,073 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:31:44,122 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:31:46,182 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:31:48,143 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:31:51,984 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 17.08%
2023-03-31 19:31:52,076 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:31:53,312 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:31:54,812 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:31:56,340 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:31:58,036 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:32:01,898 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 10.00%
2023-03-31 19:32:02,143 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:32:06,514 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:32:10,546 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:32:15,254 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:32:19,639 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:32:26,629 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 18.23%
