2023-03-31 16:28:03,243 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 16:28:03,263 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 16:28:04,482 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 16:28:05,066 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 16:28:05,604 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 16:28:06,153 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 16:28:08,080 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 16:28:08,109 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 16:28:08,447 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 16:28:08,800 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 16:28:09,150 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 16:28:09,510 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 16:28:12,014 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 10.00%
2023-03-31 16:28:12,046 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 16:28:12,404 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 16:28:12,766 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 16:28:13,142 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 16:28:13,629 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 16:28:15,450 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 9.78%
2023-03-31 16:28:18,166 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 16:28:19,027 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 16:28:31,554 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 16:28:47,122 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 16:29:02,328 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 16:29:17,888 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 16:29:34,568 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 54.93%
2023-03-31 16:29:34,713 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 16:29:35,172 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 16:29:35,686 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 16:29:36,144 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 16:29:36,593 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 16:29:38,648 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 16:29:38,726 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 16:29:40,143 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 16:29:41,589 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 16:29:43,030 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 16:29:44,484 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 16:29:47,290 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 12.59%
2023-03-31 16:29:48,842 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 16:29:48,865 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 16:29:49,337 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 16:29:49,817 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 16:29:50,268 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 16:29:50,782 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 16:29:53,186 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 47.64%
2023-03-31 16:29:53,283 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 16:29:54,759 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 16:29:56,173 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 16:29:57,589 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 16:29:59,027 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 16:30:01,926 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 57.96%
2023-03-31 16:30:01,968 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 16:30:02,584 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 16:30:03,197 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 16:30:03,801 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 16:30:04,439 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 16:30:06,811 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 47.99%
