2023-03-31 19:02:02,016 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:02:02,038 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:02:03,161 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:02:03,699 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:02:04,229 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:02:04,748 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:02:06,646 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.02%
2023-03-31 19:02:06,662 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:02:07,052 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:02:07,439 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:02:07,817 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:02:08,191 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:02:10,295 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 10.02%
2023-03-31 19:02:10,320 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:02:10,654 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:02:11,014 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:02:11,349 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:02:11,682 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:02:14,156 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 9.71%
2023-03-31 19:02:16,161 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:02:17,009 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:02:30,545 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:02:44,157 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:02:58,907 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:03:13,171 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:03:28,243 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 57.33%
2023-03-31 19:03:28,375 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:03:28,804 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:03:29,282 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:03:29,720 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:03:30,232 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:03:32,628 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:03:32,704 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:03:34,147 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:03:35,531 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:03:37,032 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:03:38,446 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:03:40,921 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 14.39%
2023-03-31 19:03:42,369 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:03:42,396 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:03:42,844 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:03:43,314 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:03:43,800 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:03:44,248 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:03:46,747 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 47.17%
2023-03-31 19:03:46,824 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:03:48,231 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:03:49,645 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:03:50,961 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:03:52,406 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:03:56,016 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 59.41%
2023-03-31 19:03:56,065 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:03:56,686 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:03:57,334 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:03:57,900 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:03:58,514 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:04:01,295 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 44.56%
