2023-03-31 19:11:12,661 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:11:12,706 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:11:15,466 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:11:16,077 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:11:16,926 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:11:17,650 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:11:21,235 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 19:11:21,347 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:11:21,703 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:11:22,053 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:11:22,427 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:11:23,089 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:11:27,840 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 9.31%
2023-03-31 19:11:27,957 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:11:28,499 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:11:28,898 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:11:29,253 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:11:29,833 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:11:34,196 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 9.99%
2023-03-31 19:11:37,763 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:11:38,660 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:12:08,607 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:12:35,388 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:13:03,443 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:13:30,681 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:14:01,925 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 16.79%
2023-03-31 19:14:02,040 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:14:02,646 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:14:03,164 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:14:03,647 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:14:04,411 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:14:09,220 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:14:09,401 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:14:11,926 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:14:14,001 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:14:16,537 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:14:18,796 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:14:25,515 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.51%
2023-03-31 19:14:27,208 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:14:27,302 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:14:27,823 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:14:28,589 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:14:29,118 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:14:29,876 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:14:34,339 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 17.55%
2023-03-31 19:14:34,425 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:14:36,908 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:14:39,154 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:14:41,776 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:14:44,117 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:14:50,796 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 13.99%
2023-03-31 19:14:50,932 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:14:51,978 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:14:52,815 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:14:53,812 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:14:54,689 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:14:59,591 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 14.17%
