Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.016,0.037,0.012,0.00,0.00,0.029,0.054,0.025,0.014,0.025,0.010,0.017,0.043,0.035,0.035,0.00,0.021,0.016,0.019,0.014,0.019,0.012,0.00,0.00,0.00,0.035,0.012,0.00,0.023,0.029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.017,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.012,0.00,0.00,0.00,0.016,0.00,0.00,0.00,0.014,0.014,0.00,0.014,0.043,0.010,0.00,0.025,0.035,0.014,0.00,0.025,0.016,0.00,0.00,0.00,0.016,0.00,0.025,0.031,0.012,0.00,0.014,0.00,0.00,0.00,0.017,0.00,0.023,0.008,0.00,0.00,515
Client   1,0.018,0.036,0.012,0.018,0.016,0.00,0.00,0.00,0.024,0.016,0.00,0.00,0.00,0.024,0.014,0.020,0.014,0.00,0.00,0.00,0.010,0.020,0.026,0.014,0.020,0.00,0.028,0.020,0.00,0.00,0.022,0.006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.024,0.016,0.032,0.008,0.012,0.00,0.030,0.010,0.028,0.00,0.00,0.010,0.012,0.00,0.00,0.00,0.022,0.014,0.00,0.034,0.030,0.014,0.022,0.024,0.00,0.00,0.00,0.020,0.008,0.022,0.034,0.032,0.016,0.00,0.00,0.022,0.010,0.00,0.00,0.026,0.030,0.028,0.010,0.00,0.00,0.00,0.00,0.018,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505
Client   2,0.00,0.00,0.029,0.006,0.00,0.008,0.00,0.014,0.035,0.049,0.024,0.020,0.00,0.00,0.00,0.026,0.008,0.00,0.00,0.00,0.00,0.00,0.026,0.031,0.016,0.018,0.035,0.041,0.014,0.00,0.018,0.00,0.016,0.010,0.018,0.00,0.00,0.016,0.033,0.006,0.00,0.00,0.00,0.00,0.00,0.00,0.020,0.008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.026,0.012,0.024,0.012,0.00,0.00,0.00,0.020,0.016,0.00,0.031,0.012,0.020,0.029,0.012,0.014,0.012,0.016,0.00,0.022,0.00,0.00,0.018,0.010,0.00,0.00,0.00,0.00,0.018,0.010,0.00,0.00,0.018,0.028,0.016,0.00,0.00,0.016,0.012,0.00,0.00,0.00,0.00,0.024,0.016,509
Client   3,0.012,0.016,0.016,0.039,0.014,0.00,0.030,0.031,0.016,0.00,0.026,0.018,0.00,0.026,0.012,0.00,0.00,0.00,0.00,0.00,0.026,0.033,0.010,0.028,0.033,0.00,0.00,0.00,0.00,0.00,0.014,0.014,0.00,0.00,0.00,0.00,0.031,0.010,0.00,0.00,0.00,0.00,0.00,0.020,0.020,0.020,0.020,0.00,0.00,0.00,0.00,0.00,0.012,0.010,0.00,0.00,0.00,0.024,0.012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.020,0.008,0.043,0.008,0.024,0.016,0.020,0.018,0.035,0.033,0.010,0.00,0.00,0.022,0.026,0.008,0.00,0.012,0.018,0.00,0.00,0.00,0.00,0.020,0.031,0.010,0.00,0.00,0.026,0.006,0.00,0.00,508
Client   4,0.019,0.00,0.015,0.019,0.034,0.015,0.017,0.00,0.00,0.00,0.023,0.019,0.013,0.040,0.017,0.023,0.009,0.034,0.009,0.00,0.028,0.017,0.021,0.009,0.013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.011,0.013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.019,0.011,0.00,0.00,0.00,0.00,0.025,0.011,0.009,0.00,0.00,0.025,0.030,0.019,0.017,0.00,0.00,0.00,0.017,0.019,0.00,0.00,0.00,0.023,0.034,0.015,0.00,0.00,0.011,0.043,0.006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.008,0.00,0.009,0.013,0.023,0.00,0.013,0.025,0.00,0.00,0.017,0.00,0.011,0.015,0.013,0.00,0.009,0.043,0.036,0.011,530
Client   5,0.00,0.00,0.00,0.00,0.00,0.052,0.040,0.013,0.00,0.013,0.004,0.00,0.00,0.021,0.040,0.017,0.015,0.00,0.00,0.00,0.015,0.017,0.010,0.00,0.013,0.019,0.010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.019,0.021,0.00,0.00,0.023,0.012,0.00,0.031,0.008,0.042,0.010,0.023,0.015,0.025,0.00,0.00,0.00,0.019,0.015,0.010,0.015,0.019,0.00,0.021,0.00,0.017,0.010,0.00,0.00,0.013,0.010,0.021,0.00,0.025,0.00,0.010,0.017,0.00,0.00,0.00,0.00,0.017,0.027,0.013,0.012,0.00,0.00,0.015,0.031,0.013,0.00,0.010,0.019,0.023,0.00,0.025,0.008,0.00,0.00,0.00,0.017,0.013,0.00,0.00,519
Client   6,0.021,0.006,0.020,0.016,0.00,0.00,0.035,0.014,0.020,0.020,0.00,0.00,0.00,0.00,0.00,0.00,0.025,0.012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.010,0.00,0.00,0.012,0.049,0.00,0.023,0.020,0.035,0.012,0.023,0.010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023,0.029,0.014,0.023,0.014,0.008,0.00,0.00,0.021,0.037,0.023,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.020,0.010,0.00,0.021,0.033,0.010,0.00,0.016,0.00,0.00,0.00,0.020,0.031,0.006,0.020,0.027,0.012,0.014,0.00,0.016,0.021,0.031,0.00,0.00,0.00,0.00,0.00,0.014,0.00,0.00,0.021,0.035,0.008,0.00,0.00,0.00,0.027,512
Client   7,0.00,0.00,0.00,0.00,0.00,0.014,0.019,0.014,0.014,0.00,0.014,0.00,0.00,0.00,0.016,0.041,0.012,0.00,0.00,0.033,0.039,0.008,0.00,0.00,0.014,0.00,0.029,0.018,0.00,0.00,0.035,0.012,0.010,0.016,0.016,0.00,0.00,0.00,0.010,0.014,0.018,0.021,0.045,0.004,0.021,0.00,0.00,0.023,0.016,0.00,0.018,0.019,0.00,0.018,0.018,0.00,0.00,0.00,0.00,0.00,0.025,0.018,0.00,0.025,0.025,0.00,0.00,0.018,0.016,0.00,0.018,0.00,0.00,0.00,0.018,0.012,0.00,0.00,0.00,0.019,0.00,0.00,0.00,0.021,0.006,0.00,0.027,0.025,0.016,0.00,0.004,0.021,0.012,0.00,0.027,0.004,0.00,0.00,0.00,0.031,514
Client   8,0.015,0.011,0.00,0.00,0.00,0.00,0.00,0.00,0.015,0.023,0.00,0.00,0.00,0.00,0.00,0.019,0.019,0.042,0.019,0.034,0.00,0.00,0.017,0.013,0.00,0.015,0.013,0.00,0.023,0.011,0.019,0.008,0.00,0.00,0.00,0.036,0.010,0.00,0.011,0.030,0.019,0.025,0.013,0.00,0.019,0.00,0.00,0.00,0.017,0.019,0.038,0.008,0.00,0.00,0.021,0.00,0.00,0.00,0.00,0.00,0.040,0.011,0.019,0.015,0.011,0.00,0.017,0.013,0.021,0.006,0.030,0.013,0.00,0.00,0.025,0.00,0.00,0.013,0.029,0.015,0.00,0.017,0.013,0.00,0.00,0.00,0.023,0.015,0.017,0.013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.025,0.013,526
Client   9,0.00,0.00,0.00,0.026,0.008,0.020,0.00,0.00,0.00,0.020,0.040,0.014,0.00,0.00,0.020,0.018,0.014,0.00,0.00,0.00,0.00,0.020,0.030,0.036,0.016,0.026,0.014,0.00,0.00,0.026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.022,0.010,0.00,0.018,0.00,0.00,0.00,0.022,0.00,0.012,0.016,0.00,0.00,0.012,0.014,0.016,0.020,0.036,0.00,0.024,0.012,0.028,0.012,0.00,0.00,0.00,0.020,0.010,0.00,0.00,0.00,0.012,0.016,0.00,0.016,0.012,0.00,0.00,0.014,0.022,0.028,0.010,0.018,0.032,0.022,0.00,0.00,0.016,0.018,0.012,0.00,0.010,0.022,0.00,0.022,0.034,0.006,0.00,0.00,0.00,0.00,0.00,0.00,497
