Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.054,0.023,0.00,0.00,0.00,0.035,0.035,0.045,0.00,0.033,0.00,0.041,0.031,0.041,0.027,0.00,0.031,0.00,0.039,0.00,0.014,0.00,0.00,0.00,0.00,0.043,0.00,0.00,0.047,0.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.033,0.00,0.00,0.039,0.035,0.00,0.00,0.035,0.033,0.00,0.00,0.031,0.00,0.00,0.00,0.00,0.012,0.00,0.058,0.029,0.00,0.00,0.00,0.00,0.00,0.00,0.016,0.00,0.033,0.00,0.00,0.00,515
Client   1,0.051,0.024,0.00,0.038,0.00,0.00,0.00,0.00,0.022,0.00,0.00,0.00,0.00,0.042,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.048,0.034,0.00,0.026,0.00,0.028,0.00,0.00,0.00,0.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.055,0.00,0.036,0.00,0.00,0.00,0.034,0.00,0.046,0.00,0.00,0.020,0.00,0.00,0.00,0.00,0.024,0.00,0.00,0.044,0.030,0.00,0.034,0.030,0.00,0.00,0.00,0.018,0.00,0.048,0.040,0.026,0.00,0.00,0.00,0.016,0.00,0.00,0.00,0.040,0.044,0.026,0.00,0.00,0.00,0.00,0.00,0.018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505
Client   2,0.00,0.00,0.037,0.00,0.00,0.00,0.00,0.049,0.033,0.039,0.022,0.00,0.00,0.00,0.00,0.045,0.00,0.00,0.00,0.00,0.00,0.00,0.047,0.035,0.00,0.029,0.033,0.045,0.00,0.00,0.00,0.00,0.029,0.00,0.031,0.00,0.00,0.026,0.029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.043,0.00,0.037,0.00,0.00,0.00,0.00,0.016,0.00,0.00,0.051,0.00,0.045,0.028,0.00,0.00,0.024,0.00,0.00,0.039,0.00,0.00,0.018,0.00,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.031,0.033,0.00,0.00,0.00,0.018,0.00,0.00,0.00,0.00,0.00,0.031,0.00,509
Client   3,0.055,0.00,0.024,0.030,0.00,0.00,0.053,0.024,0.00,0.00,0.030,0.00,0.00,0.051,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.030,0.00,0.031,0.041,0.00,0.00,0.00,0.00,0.00,0.018,0.00,0.00,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.00,0.00,0.00,0.045,0.00,0.033,0.00,0.00,0.00,0.00,0.00,0.00,0.037,0.00,0.00,0.00,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.030,0.00,0.053,0.00,0.035,0.00,0.033,0.031,0.026,0.039,0.00,0.00,0.00,0.024,0.031,0.00,0.00,0.016,0.00,0.00,0.00,0.00,0.00,0.047,0.028,0.00,0.00,0.00,0.020,0.00,0.00,0.00,508
Client   4,0.00,0.00,0.042,0.00,0.045,0.017,0.00,0.00,0.00,0.00,0.049,0.00,0.042,0.036,0.00,0.040,0.00,0.036,0.00,0.00,0.034,0.00,0.030,0.00,0.025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.025,0.00,0.00,0.00,0.00,0.00,0.038,0.00,0.00,0.00,0.00,0.043,0.034,0.021,0.00,0.00,0.00,0.00,0.043,0.00,0.00,0.00,0.00,0.045,0.034,0.00,0.00,0.00,0.034,0.026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023,0.00,0.030,0.00,0.021,0.00,0.00,0.00,0.00,0.00,0.034,0.00,0.040,0.00,0.034,0.034,0.032,0.00,530
Client   5,0.00,0.00,0.00,0.00,0.00,0.048,0.052,0.00,0.00,0.033,0.00,0.00,0.00,0.027,0.039,0.013,0.00,0.00,0.00,0.00,0.00,0.060,0.00,0.00,0.015,0.012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.044,0.00,0.00,0.00,0.056,0.00,0.00,0.031,0.00,0.042,0.00,0.048,0.00,0.025,0.00,0.00,0.00,0.023,0.00,0.00,0.048,0.00,0.00,0.029,0.00,0.015,0.00,0.00,0.00,0.00,0.052,0.00,0.00,0.029,0.00,0.010,0.00,0.00,0.00,0.00,0.00,0.052,0.023,0.00,0.00,0.00,0.00,0.029,0.029,0.00,0.00,0.031,0.00,0.035,0.00,0.023,0.00,0.00,0.00,0.00,0.027,0.00,0.00,0.00,519
Client   6,0.047,0.00,0.029,0.00,0.00,0.00,0.041,0.00,0.047,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.064,0.029,0.00,0.039,0.021,0.029,0.00,0.025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.047,0.037,0.00,0.027,0.00,0.00,0.00,0.00,0.033,0.033,0.023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035,0.00,0.00,0.033,0.039,0.00,0.00,0.00,0.00,0.00,0.00,0.025,0.043,0.00,0.029,0.033,0.00,0.00,0.00,0.033,0.027,0.021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.031,0.039,0.00,0.00,0.00,0.00,0.021,512
Client   7,0.00,0.00,0.00,0.00,0.00,0.051,0.00,0.023,0.00,0.00,0.00,0.00,0.00,0.00,0.021,0.047,0.00,0.00,0.00,0.047,0.019,0.00,0.00,0.00,0.041,0.00,0.041,0.00,0.00,0.00,0.025,0.00,0.033,0.00,0.035,0.00,0.00,0.00,0.018,0.00,0.00,0.051,0.021,0.00,0.043,0.00,0.00,0.033,0.00,0.00,0.045,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.00,0.00,0.037,0.00,0.00,0.029,0.027,0.00,0.00,0.023,0.00,0.00,0.00,0.00,0.00,0.00,0.023,0.00,0.00,0.00,0.00,0.037,0.00,0.00,0.00,0.029,0.00,0.00,0.045,0.037,0.00,0.00,0.00,0.035,0.00,0.00,0.029,0.00,0.00,0.00,0.00,0.021,514
Client   8,0.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.061,0.040,0.00,0.048,0.00,0.00,0.017,0.00,0.00,0.044,0.00,0.00,0.032,0.00,0.013,0.00,0.00,0.00,0.00,0.048,0.00,0.00,0.021,0.032,0.00,0.036,0.00,0.00,0.040,0.00,0.00,0.00,0.025,0.00,0.048,0.00,0.00,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.038,0.00,0.034,0.00,0.025,0.00,0.030,0.00,0.027,0.00,0.034,0.00,0.00,0.00,0.034,0.00,0.00,0.019,0.038,0.00,0.00,0.021,0.00,0.00,0.00,0.00,0.036,0.00,0.042,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023,0.00,526
Client   9,0.00,0.00,0.00,0.014,0.00,0.00,0.00,0.00,0.00,0.046,0.046,0.00,0.00,0.00,0.042,0.022,0.00,0.00,0.00,0.00,0.00,0.040,0.032,0.040,0.00,0.030,0.00,0.00,0.00,0.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.014,0.00,0.00,0.00,0.00,0.00,0.00,0.046,0.00,0.034,0.00,0.00,0.00,0.00,0.046,0.00,0.036,0.022,0.00,0.044,0.00,0.032,0.00,0.00,0.00,0.00,0.022,0.00,0.00,0.00,0.00,0.020,0.00,0.00,0.034,0.00,0.00,0.00,0.00,0.038,0.026,0.00,0.038,0.046,0.00,0.00,0.00,0.024,0.030,0.00,0.00,0.032,0.00,0.00,0.026,0.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497
