Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.021,0.030,0.003,0.004,0.003,0.021,0.030,0.022,0.005,0.026,0.005,0.030,0.024,0.022,0.022,0.003,0.014,0.006,0.026,0.004,0.037,0.003,0.005,0.003,0.005,0.025,0.003,0.005,0.022,0.026,0.004,0.004,0.003,0.005,0.003,0.005,0.004,0.027,0.005,0.004,0.005,0.003,0.005,0.003,0.003,0.005,0.005,0.004,0.003,0.003,0.031,0.004,0.005,0.005,0.001,0.004,0.004,0.004,0.003,0.002,0.005,0.004,0.005,0.002,0.020,0.005,0.005,0.004,0.023,0.006,0.005,0.012,0.027,0.005,0.002,0.024,0.021,0.004,0.004,0.030,0.003,0.005,0.003,0.005,0.024,0.003,0.023,0.024,0.003,0.003,0.005,0.004,0.002,0.006,0.022,0.005,0.019,0.002,0.004,0.005,2380
Client   1,0.021,0.036,0.003,0.024,0.005,0.005,0.002,0.002,0.026,0.003,0.005,0.004,0.005,0.019,0.006,0.020,0.005,0.004,0.004,0.007,0.007,0.018,0.018,0.004,0.026,0.005,0.023,0.004,0.003,0.003,0.011,0.002,0.005,0.004,0.003,0.002,0.005,0.005,0.007,0.005,0.003,0.025,0.004,0.021,0.002,0.005,0.004,0.040,0.006,0.035,0.003,0.002,0.024,0.003,0.004,0.004,0.005,0.027,0.006,0.005,0.027,0.028,0.004,0.020,0.023,0.003,0.002,0.004,0.025,0.002,0.019,0.020,0.028,0.005,0.004,0.005,0.022,0.005,0.003,0.002,0.033,0.025,0.018,0.003,0.003,0.007,0.005,0.004,0.022,0.003,0.005,0.004,0.002,0.005,0.003,0.003,0.003,0.004,0.003,0.003,2440
Client   2,0.003,0.006,0.020,0.003,0.005,0.004,0.004,0.019,0.025,0.021,0.019,0.004,0.005,0.004,0.004,0.018,0.004,0.003,0.004,0.007,0.004,0.008,0.017,0.033,0.004,0.023,0.025,0.020,0.005,0.004,0.005,0.005,0.018,0.005,0.033,0.001,0.004,0.024,0.027,0.003,0.003,0.006,0.001,0.005,0.004,0.003,0.022,0.007,0.005,0.004,0.003,0.004,0.006,0.003,0.002,0.038,0.003,0.028,0.004,0.004,0.004,0.005,0.033,0.003,0.005,0.040,0.003,0.032,0.021,0.004,0.004,0.012,0.004,0.003,0.026,0.002,0.003,0.019,0.003,0.004,0.004,0.004,0.006,0.019,0.004,0.004,0.003,0.023,0.021,0.008,0.005,0.005,0.017,0.004,0.003,0.002,0.005,0.005,0.020,0.004,2482
Client   3,0.020,0.002,0.023,0.027,0.002,0.004,0.029,0.018,0.005,0.003,0.023,0.003,0.004,0.017,0.006,0.003,0.006,0.005,0.004,0.004,0.033,0.027,0.003,0.032,0.028,0.003,0.004,0.003,0.003,0.005,0.013,0.006,0.001,0.006,0.002,0.004,0.023,0.004,0.005,0.002,0.004,0.006,0.005,0.020,0.006,0.027,0.004,0.003,0.005,0.004,0.003,0.005,0.021,0.002,0.002,0.001,0.004,0.034,0.003,0.003,0.006,0.003,0.007,0.003,0.003,0.004,0.004,0.006,0.021,0.004,0.020,0.004,0.033,0.005,0.024,0.026,0.020,0.017,0.007,0.003,0.003,0.026,0.020,0.005,0.007,0.038,0.004,0.003,0.006,0.003,0.003,0.016,0.021,0.008,0.003,0.003,0.021,0.006,0.003,0.002,2346
Client   4,0.003,0.004,0.021,0.007,0.046,0.023,0.005,0.003,0.006,0.004,0.025,0.003,0.022,0.018,0.004,0.016,0.003,0.029,0.002,0.003,0.035,0.004,0.014,0.004,0.022,0.003,0.007,0.004,0.004,0.003,0.006,0.002,0.020,0.003,0.003,0.003,0.004,0.003,0.006,0.003,0.003,0.005,0.026,0.002,0.003,0.006,0.004,0.007,0.018,0.004,0.003,0.005,0.005,0.025,0.026,0.030,0.005,0.004,0.006,0.004,0.025,0.004,0.002,0.005,0.003,0.043,0.026,0.003,0.003,0.007,0.020,0.017,0.006,0.005,0.002,0.006,0.002,0.003,0.005,0.004,0.006,0.004,0.017,0.004,0.020,0.004,0.018,0.003,0.003,0.003,0.006,0.001,0.022,0.005,0.021,0.005,0.018,0.030,0.023,0.004,2433
Client   5,0.002,0.004,0.004,0.003,0.003,0.018,0.026,0.004,0.003,0.022,0.005,0.006,0.002,0.018,0.019,0.015,0.007,0.005,0.006,0.006,0.002,0.022,0.004,0.003,0.025,0.023,0.005,0.003,0.003,0.005,0.004,0.004,0.003,0.004,0.005,0.004,0.019,0.006,0.003,0.004,0.023,0.004,0.004,0.018,0.004,0.027,0.003,0.044,0.005,0.035,0.004,0.003,0.004,0.025,0.004,0.004,0.032,0.004,0.004,0.040,0.002,0.026,0.003,0.005,0.004,0.002,0.023,0.003,0.004,0.044,0.004,0.014,0.004,0.004,0.005,0.002,0.003,0.016,0.018,0.003,0.003,0.005,0.004,0.018,0.020,0.004,0.004,0.022,0.004,0.038,0.006,0.018,0.004,0.004,0.003,0.003,0.018,0.003,0.004,0.002,2683
Client   6,0.023,0.004,0.020,0.003,0.004,0.006,0.032,0.006,0.021,0.003,0.004,0.006,0.007,0.003,0.005,0.005,0.012,0.005,0.005,0.006,0.003,0.003,0.002,0.004,0.005,0.006,0.003,0.003,0.023,0.025,0.004,0.046,0.020,0.030,0.002,0.034,0.006,0.002,0.004,0.002,0.005,0.003,0.004,0.004,0.004,0.026,0.015,0.003,0.015,0.005,0.004,0.005,0.003,0.025,0.020,0.036,0.003,0.005,0.002,0.002,0.006,0.005,0.003,0.015,0.004,0.005,0.025,0.031,0.006,0.006,0.004,0.002,0.005,0.005,0.020,0.028,0.004,0.017,0.017,0.005,0.005,0.004,0.018,0.023,0.019,0.007,0.003,0.002,0.006,0.004,0.002,0.004,0.003,0.031,0.021,0.004,0.004,0.002,0.003,0.029,2524
Client   7,0.006,0.003,0.004,0.005,0.005,0.019,0.002,0.017,0.003,0.003,0.004,0.002,0.006,0.004,0.023,0.015,0.005,0.004,0.006,0.026,0.036,0.003,0.003,0.006,0.023,0.004,0.022,0.004,0.004,0.003,0.015,0.001,0.020,0.004,0.039,0.004,0.006,0.003,0.024,0.007,0.002,0.033,0.026,0.004,0.028,0.003,0.002,0.044,0.003,0.004,0.028,0.003,0.005,0.020,0.002,0.003,0.005,0.005,0.003,0.003,0.027,0.005,0.003,0.022,0.019,0.003,0.004,0.037,0.003,0.003,0.005,0.006,0.003,0.003,0.024,0.004,0.003,0.004,0.006,0.029,0.003,0.005,0.003,0.018,0.002,0.004,0.022,0.017,0.004,0.007,0.003,0.017,0.002,0.002,0.021,0.004,0.004,0.006,0.006,0.029,2539
Client   8,0.023,0.003,0.004,0.003,0.004,0.003,0.005,0.004,0.023,0.005,0.003,0.004,0.005,0.005,0.006,0.002,0.015,0.032,0.004,0.026,0.005,0.004,0.014,0.005,0.004,0.026,0.002,0.006,0.021,0.007,0.017,0.009,0.004,0.005,0.007,0.037,0.005,0.003,0.027,0.033,0.005,0.030,0.003,0.004,0.028,0.001,0.004,0.006,0.016,0.005,0.026,0.003,0.005,0.004,0.024,0.004,0.002,0.004,0.002,0.005,0.023,0.003,0.035,0.003,0.022,0.006,0.026,0.005,0.025,0.006,0.018,0.006,0.004,0.007,0.030,0.003,0.005,0.016,0.020,0.003,0.002,0.022,0.005,0.002,0.003,0.005,0.019,0.005,0.021,0.005,0.003,0.003,0.002,0.005,0.004,0.004,0.005,0.003,0.018,0.002,2387
Client   9,0.005,0.003,0.005,0.024,0.005,0.005,0.005,0.004,0.005,0.024,0.021,0.004,0.004,0.004,0.019,0.018,0.004,0.002,0.007,0.002,0.005,0.022,0.014,0.029,0.005,0.026,0.004,0.003,0.004,0.028,0.002,0.004,0.004,0.004,0.003,0.003,0.002,0.022,0.005,0.005,0.003,0.005,0.006,0.002,0.027,0.005,0.019,0.002,0.004,0.004,0.004,0.028,0.004,0.022,0.024,0.007,0.031,0.005,0.044,0.001,0.005,0.005,0.004,0.019,0.006,0.004,0.003,0.004,0.025,0.007,0.004,0.019,0.002,0.005,0.002,0.005,0.017,0.017,0.003,0.027,0.040,0.005,0.003,0.004,0.017,0.036,0.003,0.003,0.019,0.005,0.005,0.018,0.020,0.002,0.005,0.003,0.005,0.003,0.004,0.004,2415
