Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.030,0.046,0.00,0.00,0.00,0.025,0.038,0.032,0.00,0.039,0.00,0.042,0.031,0.028,0.026,0.00,0.027,0.00,0.036,0.00,0.042,0.00,0.00,0.00,0.00,0.037,0.00,0.00,0.025,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.031,0.00,0.00,0.00,0.029,0.00,0.00,0.028,0.039,0.00,0.00,0.039,0.031,0.00,0.00,0.035,0.00,0.00,0.00,0.00,0.033,0.00,0.032,0.034,0.00,0.00,0.00,0.00,0.00,0.00,0.036,0.00,0.032,0.00,0.00,0.00,2380
Client   1,0.027,0.043,0.00,0.035,0.00,0.00,0.00,0.00,0.030,0.00,0.00,0.00,0.00,0.027,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.027,0.020,0.00,0.034,0.00,0.041,0.00,0.00,0.00,0.025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.040,0.00,0.031,0.00,0.00,0.00,0.052,0.00,0.048,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.039,0.00,0.00,0.034,0.038,0.00,0.029,0.034,0.00,0.00,0.00,0.032,0.00,0.027,0.025,0.039,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.046,0.036,0.029,0.00,0.00,0.00,0.00,0.00,0.029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2440
Client   2,0.00,0.00,0.028,0.00,0.00,0.00,0.00,0.033,0.033,0.037,0.029,0.00,0.00,0.00,0.00,0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.027,0.041,0.00,0.033,0.031,0.029,0.00,0.00,0.00,0.00,0.028,0.00,0.041,0.00,0.00,0.033,0.029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.045,0.00,0.040,0.00,0.00,0.00,0.00,0.044,0.00,0.00,0.058,0.00,0.049,0.028,0.00,0.00,0.021,0.00,0.00,0.035,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.00,0.027,0.00,0.00,0.00,0.033,0.031,0.00,0.00,0.00,0.029,0.00,0.00,0.00,0.00,0.00,0.028,0.00,2482
Client   3,0.025,0.00,0.033,0.034,0.00,0.00,0.038,0.032,0.00,0.00,0.029,0.00,0.00,0.026,0.00,0.00,0.00,0.00,0.00,0.00,0.048,0.032,0.00,0.044,0.038,0.00,0.00,0.00,0.00,0.00,0.022,0.00,0.00,0.00,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.00,0.00,0.030,0.00,0.037,0.00,0.00,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032,0.00,0.026,0.00,0.040,0.00,0.036,0.037,0.031,0.029,0.00,0.00,0.00,0.036,0.029,0.00,0.00,0.047,0.00,0.00,0.00,0.00,0.00,0.028,0.028,0.00,0.00,0.00,0.032,0.00,0.00,0.00,2346
Client   4,0.00,0.00,0.030,0.00,0.053,0.028,0.00,0.00,0.00,0.00,0.028,0.00,0.042,0.028,0.00,0.023,0.00,0.036,0.00,0.00,0.048,0.00,0.027,0.00,0.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.026,0.00,0.00,0.00,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.034,0.032,0.046,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.053,0.037,0.00,0.00,0.00,0.027,0.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034,0.00,0.034,0.00,0.031,0.00,0.00,0.00,0.00,0.00,0.030,0.00,0.026,0.00,0.029,0.037,0.030,0.00,2433
Client   5,0.00,0.00,0.00,0.00,0.00,0.029,0.034,0.00,0.00,0.029,0.00,0.00,0.00,0.028,0.030,0.027,0.00,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.027,0.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.036,0.00,0.00,0.027,0.00,0.036,0.00,0.048,0.00,0.040,0.00,0.00,0.00,0.032,0.00,0.00,0.036,0.00,0.00,0.054,0.00,0.043,0.00,0.00,0.00,0.00,0.030,0.00,0.00,0.048,0.00,0.025,0.00,0.00,0.00,0.00,0.00,0.025,0.028,0.00,0.00,0.00,0.00,0.026,0.028,0.00,0.00,0.030,0.00,0.056,0.00,0.026,0.00,0.00,0.00,0.00,0.029,0.00,0.00,0.00,2683
Client   6,0.025,0.00,0.025,0.00,0.00,0.00,0.036,0.00,0.033,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029,0.035,0.00,0.054,0.029,0.038,0.00,0.045,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037,0.032,0.00,0.025,0.00,0.00,0.00,0.00,0.031,0.038,0.044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.024,0.00,0.00,0.031,0.049,0.00,0.00,0.00,0.00,0.00,0.00,0.037,0.034,0.00,0.023,0.029,0.00,0.00,0.00,0.025,0.036,0.033,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037,0.027,0.00,0.00,0.00,0.00,0.036,2524
Client   7,0.00,0.00,0.00,0.00,0.00,0.025,0.00,0.031,0.00,0.00,0.00,0.00,0.00,0.00,0.026,0.026,0.00,0.00,0.00,0.036,0.041,0.00,0.00,0.00,0.035,0.00,0.036,0.00,0.00,0.00,0.027,0.00,0.028,0.00,0.040,0.00,0.00,0.00,0.037,0.00,0.00,0.035,0.033,0.00,0.041,0.00,0.00,0.049,0.00,0.00,0.037,0.00,0.00,0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.035,0.00,0.00,0.027,0.032,0.00,0.00,0.048,0.00,0.00,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.030,0.00,0.00,0.029,0.028,0.00,0.00,0.00,0.026,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.032,2539
Client   8,0.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.037,0.00,0.032,0.00,0.00,0.033,0.00,0.00,0.037,0.00,0.00,0.033,0.00,0.027,0.00,0.00,0.00,0.00,0.041,0.00,0.00,0.028,0.039,0.00,0.042,0.00,0.00,0.038,0.00,0.00,0.00,0.031,0.00,0.038,0.00,0.00,0.00,0.041,0.00,0.00,0.00,0.00,0.00,0.034,0.00,0.041,0.00,0.031,0.00,0.036,0.00,0.035,0.00,0.025,0.00,0.00,0.00,0.030,0.00,0.00,0.030,0.031,0.00,0.00,0.036,0.00,0.00,0.00,0.00,0.033,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.00,2387
Client   9,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.00,0.038,0.032,0.00,0.00,0.00,0.024,0.027,0.00,0.00,0.00,0.00,0.00,0.032,0.024,0.037,0.00,0.032,0.00,0.00,0.00,0.030,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035,0.00,0.00,0.00,0.00,0.00,0.00,0.036,0.00,0.034,0.00,0.00,0.00,0.00,0.035,0.00,0.034,0.033,0.00,0.039,0.00,0.055,0.00,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.00,0.034,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.033,0.024,0.00,0.040,0.046,0.00,0.00,0.00,0.035,0.046,0.00,0.00,0.020,0.00,0.00,0.023,0.029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2415
Client  10,0.00,0.038,0.00,0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.00,0.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.022,0.00,0.00,0.00,0.031,0.026,0.00,0.00,0.018,0.00,0.00,0.035,0.00,0.00,0.00,0.00,0.028,0.043,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029,0.00,0.00,0.00,0.035,0.00,0.00,0.049,0.00,0.00,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.052,0.019,0.018,0.00,0.125,0.00,0.00,0.022,0.00,0.00,0.00,0.00,0.00,0.027,0.027,0.028,0.00,0.00,0.032,0.00,0.054,0.00,0.026,0.00,0.00,0.026,0.00,0.019,0.00,0.029,0.00,2914
Client  11,0.00,0.00,0.031,0.00,0.00,0.00,0.00,0.00,0.00,0.031,0.00,0.036,0.00,0.032,0.00,0.00,0.024,0.00,0.00,0.00,0.00,0.00,0.024,0.034,0.00,0.00,0.00,0.036,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.044,0.034,0.00,0.00,0.00,0.00,0.036,0.00,0.00,0.00,0.00,0.027,0.00,0.026,0.00,0.00,0.00,0.00,0.034,0.00,0.00,0.00,0.037,0.00,0.00,0.00,0.040,0.00,0.00,0.00,0.00,0.034,0.00,0.00,0.00,0.025,0.00,0.034,0.00,0.00,0.00,0.023,0.00,0.00,0.00,0.049,0.036,0.027,0.00,0.030,0.037,0.00,0.00,0.029,0.00,0.00,0.00,0.025,0.043,0.00,0.057,0.00,0.00,0.00,0.00,2475
Client  12,0.00,0.00,0.032,0.00,0.00,0.00,0.040,0.00,0.00,0.00,0.00,0.038,0.027,0.032,0.026,0.00,0.024,0.00,0.029,0.00,0.00,0.033,0.028,0.00,0.00,0.00,0.034,0.00,0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.026,0.030,0.034,0.00,0.044,0.038,0.031,0.00,0.00,0.00,0.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.057,0.00,0.00,0.00,0.00,0.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032,0.00,0.00,0.031,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035,0.00,0.057,0.00,0.00,0.028,0.00,0.00,0.00,0.030,0.040,0.029,0.038,2453
Client  13,0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.034,0.00,0.00,0.041,0.00,0.036,0.030,0.00,0.029,0.00,0.038,0.00,0.00,0.00,0.018,0.00,0.00,0.00,0.00,0.028,0.027,0.033,0.025,0.00,0.025,0.00,0.00,0.052,0.033,0.00,0.00,0.00,0.046,0.00,0.00,0.00,0.00,0.00,0.024,0.00,0.029,0.045,0.037,0.00,0.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036,0.00,0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.028,0.00,0.00,0.00,0.00,0.033,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.044,0.00,0.00,0.00,0.00,0.00,0.024,0.00,0.00,0.030,0.00,0.00,0.047,0.00,0.00,2296
