Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.011,0.005,0.030,0.010,0.009,0.008,0.016,0.006,0.013,0.005,0.006,0.007,0.004,0.046,0.014,0.009,0.006,0.006,0.006,0.008,0.006,0.011,0.005,0.008,0.012,0.005,0.005,0.008,0.008,0.015,0.014,0.013,0.017,0.014,0.005,0.004,0.012,0.015,0.005,0.030,0.014,0.003,0.003,0.004,0.007,0.003,0.007,0.007,0.022,0.013,0.009,0.007,0.012,0.003,0.007,0.022,0.009,0.004,0.003,0.022,0.008,0.006,0.014,0.022,0.012,0.008,0.008,0.005,0.005,0.004,0.007,0.011,0.004,0.003,0.005,0.013,0.037,0.007,0.004,0.005,0.005,0.019,0.010,0.011,0.011,0.014,0.005,0.011,0.003,0.005,0.012,0.006,0.007,0.010,0.010,0.040,0.005,0.002,0.003,0.002,2597
Client   1,0.005,0.006,0.007,0.005,0.005,0.018,0.003,0.024,0.009,0.005,0.013,0.014,0.008,0.004,0.007,0.039,0.004,0.005,0.009,0.035,0.007,0.018,0.035,0.016,0.005,0.019,0.013,0.019,0.006,0.005,0.005,0.005,0.004,0.008,0.005,0.013,0.003,0.005,0.005,0.010,0.012,0.005,0.005,0.009,0.010,0.007,0.007,0.003,0.008,0.006,0.008,0.005,0.013,0.019,0.011,0.009,0.026,0.013,0.011,0.005,0.003,0.004,0.008,0.011,0.003,0.005,0.006,0.008,0.008,0.035,0.004,0.006,0.007,0.025,0.005,0.010,0.006,0.005,0.010,0.003,0.003,0.006,0.004,0.003,0.004,0.009,0.012,0.010,0.005,0.050,0.010,0.005,0.012,0.004,0.005,0.009,0.010,0.030,0.004,0.006,2585
Client   2,0.010,0.037,0.006,0.009,0.015,0.006,0.006,0.003,0.004,0.010,0.019,0.006,0.006,0.011,0.005,0.028,0.005,0.011,0.008,0.003,0.002,0.001,0.005,0.053,0.018,0.005,0.005,0.006,0.014,0.003,0.005,0.011,0.029,0.018,0.004,0.005,0.021,0.008,0.007,0.009,0.009,0.009,0.008,0.006,0.004,0.010,0.015,0.005,0.013,0.006,0.028,0.009,0.007,0.004,0.002,0.004,0.022,0.008,0.011,0.004,0.018,0.004,0.016,0.006,0.004,0.010,0.020,0.005,0.005,0.005,0.015,0.014,0.009,0.021,0.003,0.015,0.011,0.008,0.018,0.018,0.005,0.003,0.013,0.006,0.003,0.010,0.006,0.009,0.006,0.002,0.019,0.004,0.015,0.004,0.010,0.003,0.009,0.006,0.005,0.012,2322
Client   3,0.003,0.004,0.008,0.004,0.009,0.033,0.026,0.013,0.010,0.015,0.007,0.003,0.008,0.010,0.008,0.006,0.004,0.005,0.003,0.002,0.013,0.012,0.006,0.009,0.011,0.015,0.022,0.014,0.006,0.028,0.016,0.030,0.008,0.004,0.010,0.003,0.011,0.005,0.020,0.007,0.009,0.006,0.016,0.004,0.003,0.007,0.003,0.010,0.007,0.005,0.017,0.009,0.015,0.008,0.017,0.016,0.007,0.010,0.012,0.004,0.019,0.006,0.006,0.006,0.007,0.003,0.022,0.003,0.053,0.005,0.023,0.009,0.009,0.003,0.006,0.010,0.005,0.015,0.007,0.011,0.004,0.003,0.023,0.007,0.025,0.043,0.004,0.004,0.003,0.003,0.006,0.002,0.003,0.004,0.003,0.005,0.004,0.002,0.003,0.004,2594
Client   4,0.003,0.004,0.010,0.007,0.041,0.004,0.015,0.025,0.018,0.015,0.006,0.004,0.005,0.004,0.043,0.007,0.005,0.006,0.014,0.005,0.009,0.003,0.005,0.006,0.008,0.013,0.010,0.010,0.008,0.013,0.006,0.012,0.014,0.004,0.011,0.026,0.008,0.011,0.014,0.009,0.004,0.006,0.005,0.003,0.003,0.013,0.012,0.005,0.011,0.027,0.007,0.004,0.033,0.008,0.013,0.002,0.006,0.006,0.006,0.035,0.008,0.035,0.012,0.005,0.029,0.005,0.017,0.006,0.010,0.019,0.012,0.010,0.012,0.004,0.006,0.007,0.011,0.007,0.006,0.003,0.008,0.002,0.009,0.010,0.016,0.015,0.010,0.008,0.010,0.003,0.004,0.003,0.003,0.005,0.004,0.003,0.006,0.003,0.002,0.006,2517
Client   5,0.016,0.008,0.003,0.019,0.007,0.019,0.015,0.005,0.012,0.016,0.005,0.006,0.004,0.007,0.006,0.006,0.005,0.013,0.045,0.021,0.057,0.009,0.016,0.014,0.009,0.017,0.007,0.011,0.029,0.004,0.008,0.004,0.006,0.021,0.008,0.015,0.002,0.007,0.007,0.003,0.004,0.013,0.006,0.010,0.004,0.006,0.003,0.006,0.026,0.005,0.004,0.009,0.004,0.007,0.007,0.010,0.010,0.002,0.004,0.004,0.007,0.010,0.010,0.006,0.013,0.016,0.006,0.003,0.003,0.021,0.013,0.015,0.003,0.006,0.008,0.004,0.004,0.006,0.031,0.005,0.020,0.006,0.005,0.009,0.003,0.005,0.021,0.017,0.048,0.006,0.003,0.004,0.004,0.006,0.004,0.005,0.004,0.004,0.002,0.003,2522
Client   6,0.006,0.011,0.012,0.005,0.005,0.007,0.009,0.004,0.008,0.007,0.006,0.024,0.009,0.013,0.006,0.009,0.002,0.008,0.018,0.011,0.003,0.005,0.006,0.006,0.007,0.002,0.013,0.006,0.008,0.027,0.005,0.012,0.010,0.004,0.002,0.027,0.003,0.005,0.009,0.016,0.016,0.010,0.010,0.009,0.002,0.009,0.007,0.003,0.013,0.008,0.009,0.005,0.006,0.021,0.008,0.005,0.008,0.002,0.004,0.008,0.005,0.011,0.007,0.011,0.015,0.011,0.002,0.010,0.008,0.011,0.006,0.010,0.004,0.003,0.011,0.005,0.011,0.004,0.013,0.010,0.007,0.005,0.003,0.039,0.003,0.012,0.013,0.006,0.003,0.003,0.006,0.018,0.046,0.016,0.005,0.013,0.004,0.006,0.003,0.105,2375
Client   7,0.006,0.002,0.015,0.036,0.008,0.003,0.010,0.011,0.004,0.004,0.006,0.004,0.009,0.007,0.016,0.007,0.006,0.006,0.006,0.005,0.004,0.021,0.023,0.007,0.005,0.004,0.010,0.017,0.007,0.004,0.019,0.006,0.003,0.010,0.011,0.009,0.004,0.011,0.005,0.030,0.011,0.005,0.012,0.003,0.007,0.007,0.008,0.008,0.004,0.036,0.005,0.006,0.018,0.027,0.005,0.017,0.004,0.010,0.005,0.004,0.012,0.006,0.005,0.018,0.015,0.006,0.007,0.003,0.007,0.006,0.016,0.006,0.010,0.018,0.034,0.006,0.005,0.005,0.009,0.004,0.004,0.011,0.044,0.005,0.011,0.006,0.008,0.005,0.006,0.009,0.010,0.005,0.004,0.007,0.012,0.026,0.004,0.011,0.011,0.019,2540
Client   8,0.005,0.005,0.006,0.006,0.004,0.005,0.007,0.006,0.005,0.005,0.010,0.024,0.016,0.014,0.004,0.004,0.007,0.028,0.012,0.009,0.004,0.006,0.003,0.003,0.006,0.019,0.003,0.003,0.012,0.004,0.006,0.007,0.005,0.018,0.012,0.008,0.009,0.004,0.008,0.015,0.003,0.005,0.008,0.005,0.021,0.009,0.011,0.004,0.011,0.005,0.005,0.051,0.003,0.005,0.007,0.018,0.022,0.005,0.004,0.019,0.012,0.010,0.012,0.003,0.005,0.005,0.007,0.004,0.004,0.007,0.004,0.024,0.005,0.021,0.005,0.014,0.003,0.020,0.004,0.006,0.010,0.019,0.005,0.007,0.005,0.010,0.005,0.009,0.028,0.008,0.009,0.029,0.023,0.016,0.025,0.005,0.010,0.010,0.026,0.007,2393
Client   9,0.005,0.013,0.011,0.024,0.003,0.006,0.003,0.016,0.005,0.025,0.002,0.004,0.003,0.009,0.008,0.004,0.009,0.016,0.006,0.003,0.020,0.017,0.007,0.003,0.005,0.012,0.007,0.004,0.020,0.008,0.009,0.004,0.009,0.012,0.007,0.005,0.004,0.009,0.012,0.008,0.018,0.007,0.023,0.007,0.018,0.021,0.004,0.010,0.004,0.007,0.012,0.007,0.002,0.014,0.002,0.013,0.006,0.024,0.016,0.006,0.011,0.005,0.005,0.004,0.003,0.008,0.014,0.005,0.008,0.005,0.005,0.003,0.005,0.014,0.005,0.010,0.005,0.004,0.009,0.021,0.026,0.012,0.005,0.021,0.003,0.018,0.006,0.027,0.013,0.009,0.005,0.031,0.005,0.006,0.031,0.004,0.037,0.004,0.005,0.006,2563
