Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.034,0.007,0.030,0.024,0.010,0.013,0.017,0.010,0.012,0.00,0.00,0.008,0.00,0.050,0.035,0.004,0.001,0.004,0.004,0.005,0.007,0.008,0.007,0.008,0.008,0.007,0.001,0.007,0.005,0.012,0.010,0.015,0.015,0.012,0.010,0.00,0.022,0.017,0.007,0.026,0.013,0.00,0.00,0.008,0.003,0.005,0.003,0.010,0.027,0.021,0.006,0.005,0.007,0.00,0.003,0.029,0.014,0.00,0.002,0.020,0.009,0.009,0.017,0.025,0.022,0.004,0.004,0.00,0.00,0.00,0.003,0.008,0.002,0.00,0.00,0.009,0.044,0.023,0.005,0.000,0.005,0.017,0.018,0.018,0.012,0.012,0.008,0.007,0.00,0.00,0.013,0.00,0.005,0.006,0.007,0.041,0.00,0.00,0.00,0.00,2597
Client   1,0.003,0.00,0.005,0.00,0.002,0.017,0.007,0.027,0.025,0.003,0.009,0.017,0.010,0.002,0.003,0.058,0.00,0.025,0.003,0.036,0.004,0.017,0.031,0.031,0.010,0.014,0.017,0.022,0.012,0.002,0.003,0.00,0.00,0.007,0.003,0.011,0.00,0.006,0.00,0.005,0.011,0.007,0.001,0.000,0.010,0.002,0.004,0.00,0.005,0.00,0.012,0.00,0.014,0.027,0.020,0.006,0.021,0.024,0.012,0.006,0.002,0.00,0.002,0.008,0.004,0.022,0.003,0.005,0.008,0.042,0.000,0.001,0.000,0.031,0.015,0.010,0.008,0.00,0.011,0.00,0.002,0.003,0.004,0.001,0.00,0.040,0.009,0.008,0.008,0.039,0.005,0.005,0.011,0.007,0.001,0.023,0.005,0.029,0.00,0.00,2585
Client   2,0.012,0.042,0.017,0.005,0.011,0.008,0.00,0.003,0.002,0.009,0.015,0.010,0.003,0.010,0.003,0.027,0.00,0.021,0.007,0.001,0.008,0.001,0.000,0.052,0.041,0.007,0.001,0.003,0.009,0.00,0.001,0.009,0.031,0.022,0.006,0.002,0.019,0.014,0.008,0.010,0.006,0.010,0.006,0.002,0.003,0.011,0.015,0.008,0.011,0.006,0.028,0.016,0.00,0.00,0.00,0.00,0.022,0.012,0.010,0.005,0.022,0.007,0.014,0.006,0.000,0.006,0.025,0.011,0.001,0.002,0.011,0.017,0.007,0.024,0.009,0.019,0.016,0.009,0.019,0.025,0.004,0.003,0.010,0.015,0.00,0.007,0.002,0.004,0.003,0.00,0.020,0.009,0.009,0.006,0.008,0.00,0.011,0.005,0.003,0.007,2322
Client   3,0.026,0.001,0.002,0.001,0.008,0.039,0.037,0.022,0.010,0.020,0.003,0.00,0.003,0.007,0.005,0.002,0.00,0.002,0.00,0.002,0.017,0.010,0.003,0.004,0.012,0.027,0.024,0.024,0.007,0.028,0.019,0.035,0.017,0.00,0.012,0.00,0.005,0.004,0.017,0.013,0.009,0.00,0.017,0.012,0.002,0.004,0.00,0.006,0.005,0.005,0.019,0.011,0.019,0.007,0.015,0.012,0.010,0.012,0.015,0.005,0.013,0.009,0.002,0.002,0.002,0.00,0.024,0.008,0.056,0.022,0.020,0.022,0.010,0.003,0.000,0.011,0.003,0.018,0.005,0.010,0.011,0.00,0.019,0.010,0.029,0.039,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2594
Client   4,0.020,0.001,0.006,0.004,0.039,0.008,0.017,0.037,0.025,0.022,0.021,0.002,0.002,0.00,0.037,0.004,0.004,0.006,0.014,0.006,0.006,0.00,0.003,0.002,0.005,0.011,0.012,0.007,0.006,0.007,0.006,0.008,0.014,0.007,0.006,0.026,0.021,0.012,0.012,0.011,0.00,0.002,0.001,0.000,0.001,0.025,0.013,0.008,0.004,0.029,0.007,0.004,0.033,0.017,0.008,0.00,0.019,0.004,0.006,0.034,0.017,0.037,0.029,0.007,0.025,0.010,0.014,0.013,0.006,0.022,0.013,0.012,0.010,0.00,0.004,0.001,0.008,0.008,0.004,0.00,0.010,0.002,0.009,0.013,0.017,0.010,0.016,0.008,0.006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2517
Client   5,0.015,0.010,0.00,0.018,0.016,0.027,0.017,0.005,0.011,0.020,0.004,0.002,0.00,0.004,0.001,0.013,0.003,0.013,0.046,0.039,0.058,0.034,0.017,0.015,0.011,0.016,0.011,0.010,0.033,0.012,0.005,0.001,0.001,0.018,0.017,0.013,0.00,0.008,0.007,0.003,0.004,0.008,0.006,0.010,0.00,0.004,0.00,0.001,0.026,0.011,0.001,0.003,0.002,0.003,0.002,0.008,0.012,0.005,0.00,0.003,0.007,0.006,0.011,0.007,0.012,0.025,0.008,0.001,0.00,0.013,0.010,0.017,0.004,0.001,0.001,0.002,0.00,0.00,0.031,0.016,0.017,0.013,0.003,0.005,0.00,0.026,0.017,0.024,0.057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2522
Client   6,0.003,0.007,0.013,0.00,0.009,0.003,0.004,0.007,0.005,0.004,0.005,0.012,0.024,0.012,0.008,0.012,0.00,0.012,0.019,0.021,0.003,0.001,0.005,0.005,0.005,0.00,0.027,0.010,0.005,0.022,0.000,0.007,0.011,0.007,0.00,0.024,0.015,0.003,0.005,0.018,0.012,0.013,0.009,0.007,0.005,0.005,0.008,0.002,0.007,0.008,0.003,0.005,0.002,0.015,0.014,0.003,0.003,0.001,0.000,0.002,0.012,0.006,0.004,0.007,0.015,0.014,0.005,0.005,0.007,0.006,0.005,0.004,0.004,0.002,0.008,0.003,0.008,0.00,0.011,0.013,0.029,0.004,0.00,0.030,0.00,0.008,0.009,0.004,0.004,0.002,0.012,0.012,0.047,0.039,0.00,0.085,0.008,0.003,0.004,0.084,2375
Client   7,0.004,0.00,0.009,0.036,0.030,0.000,0.007,0.014,0.00,0.004,0.009,0.003,0.006,0.004,0.016,0.004,0.002,0.002,0.003,0.004,0.00,0.015,0.029,0.018,0.002,0.00,0.004,0.012,0.00,0.011,0.022,0.015,0.00,0.006,0.011,0.025,0.00,0.008,0.007,0.030,0.007,0.006,0.011,0.00,0.009,0.029,0.007,0.009,0.00,0.031,0.002,0.004,0.014,0.029,0.017,0.014,0.006,0.007,0.006,0.002,0.011,0.006,0.002,0.013,0.021,0.002,0.005,0.004,0.002,0.001,0.037,0.00,0.017,0.015,0.038,0.00,0.002,0.001,0.004,0.004,0.007,0.006,0.042,0.027,0.007,0.006,0.002,0.005,0.002,0.002,0.018,0.008,0.001,0.006,0.007,0.037,0.018,0.007,0.011,0.019,2540
Client   8,0.005,0.00,0.005,0.002,0.00,0.005,0.003,0.004,0.003,0.003,0.005,0.024,0.017,0.022,0.007,0.004,0.003,0.028,0.019,0.013,0.003,0.002,0.001,0.000,0.004,0.017,0.00,0.009,0.010,0.005,0.008,0.008,0.00,0.019,0.015,0.004,0.003,0.003,0.006,0.016,0.00,0.00,0.015,0.00,0.024,0.005,0.008,0.00,0.012,0.004,0.00,0.059,0.00,0.024,0.005,0.030,0.030,0.012,0.001,0.011,0.010,0.010,0.009,0.005,0.003,0.00,0.007,0.004,0.001,0.004,0.000,0.022,0.011,0.017,0.008,0.009,0.006,0.018,0.009,0.005,0.007,0.017,0.012,0.001,0.003,0.017,0.00,0.012,0.028,0.00,0.018,0.027,0.034,0.028,0.029,0.002,0.009,0.010,0.024,0.018,2393
Client   9,0.024,0.014,0.012,0.024,0.011,0.017,0.002,0.014,0.011,0.020,0.00,0.005,0.00,0.006,0.010,0.001,0.005,0.014,0.006,0.00,0.014,0.029,0.010,0.001,0.001,0.006,0.007,0.00,0.017,0.016,0.004,0.005,0.005,0.014,0.004,0.005,0.002,0.005,0.012,0.005,0.024,0.008,0.018,0.021,0.017,0.018,0.016,0.007,0.005,0.005,0.009,0.011,0.00,0.010,0.007,0.013,0.005,0.016,0.029,0.009,0.004,0.004,0.000,0.001,0.00,0.005,0.012,0.006,0.005,0.005,0.000,0.001,0.000,0.013,0.006,0.018,0.007,0.005,0.007,0.016,0.029,0.021,0.007,0.020,0.00,0.015,0.009,0.022,0.027,0.013,0.018,0.026,0.015,0.002,0.021,0.00,0.033,0.00,0.00,0.00,2563
